         104	DH
13.906008      17.286454      18.724640
13.906008      14.797098      17.287410
16.273525      15.566351      15.850180
16.273525      18.055707      17.287410
13.906008      14.797098      20.161869
16.273525      15.566351      18.724640
18.641043      16.335604      17.287410
13.906008      19.775809      17.287410
13.906008      14.797098      14.412950
13.906008      17.286454      15.850180
13.906008      12.307743      18.724640
16.273525      13.076996      20.161869
17.736731      11.063066      18.724640
15.369214      10.293813      17.287410
16.832420       8.279882      15.850180
19.199938       9.049135      17.287410
18.641043      13.846249      15.850180
21.008560      14.615502      17.287410
13.906008      12.307743      12.975720
16.273525      13.076996      14.412950
13.906008      12.307743      21.599099
15.369214      10.293813      20.161869
16.832420       8.279882      18.724640
18.295626       6.265951      17.287410
16.273525      13.076996      17.287410
18.641043      13.846249      18.724640
20.104249      11.832319      17.287410
13.906008      12.307743      15.850180
15.369214      10.293813      14.412950
17.736731      11.063066      15.850180
13.001696       9.524559      18.724640
14.464903       7.510629      20.161869
13.001696       5.496698      18.724640
11.538490       7.510629      17.287410
10.075284       5.496698      15.850180
11.538490       3.482767      17.287410
15.928109       5.496698      15.850180
17.391315       3.482767      17.287410
13.001696       9.524559      12.975720
14.464903       7.510629      14.412950
13.001696       9.524559      21.599099
11.538490       7.510629      20.161869
10.075284       5.496698      18.724640
 8.612078       3.482767      17.287410
14.464903       7.510629      17.287410
15.928109       5.496698      18.724640
14.464903       3.482767      17.287410
13.001696       9.524559      15.850180
11.538490       7.510629      14.412950
13.001696       5.496698      15.850180
10.075284       9.524559      18.724640
 8.612078       7.510629      20.161869
 6.244560       8.279882      18.724640
 7.707766      10.293813      17.287410
 5.340249      11.063066      15.850180
 3.877043       9.049135      17.287410
 7.148871       5.496698      15.850180
 5.685665       3.482767      17.287410
10.075284       9.524559      12.975720
 8.612078       7.510629      14.412950
10.075284       9.524559      21.599099
 7.707766      10.293813      20.161869
 5.340249      11.063066      18.724640
 2.972731      11.832319      17.287410
 8.612078       7.510629      17.287410
 7.148871       5.496698      18.724640
 4.781354       6.265951      17.287410
10.075284       9.524559      15.850180
 7.707766      10.293813      14.412950
 6.244560       8.279882      15.850180
11.538490      11.538490      23.036329
11.538490      14.027845      21.599099
11.538490      16.517200      20.161869
11.538490      19.006556      18.724640
11.538490      21.495911      17.287410
 9.170973      12.307743      18.724640
 6.803455      13.076996      20.161869
 6.803455      15.566351      18.724640
11.538490      11.538490      17.287410
11.538490      14.027845      15.850180
 9.170973      14.797098      17.287410
 9.170973      17.286454      15.850180
 6.803455      18.055707      17.287410
11.538490      16.517200      14.412950
 4.435938      13.846249      15.850180
 2.068420      14.615502      17.287410
 9.170973      12.307743      12.975720
 6.803455      13.076996      14.412950
11.538490      11.538490      11.538490
11.538490      11.538490      20.161869
 9.170973      12.307743      21.599099
 9.170973      14.797098      20.161869
11.538490      14.027845      18.724640
11.538490      16.517200      17.287410
 9.170973      17.286454      18.724640
 9.170973      19.775809      17.287410
11.538490      19.006556      15.850180
 6.803455      13.076996      17.287410
 4.435938      13.846249      18.724640
 4.435938      16.335604      17.287410
11.538490      11.538490      14.412950
 9.170973      12.307743      15.850180
 9.170973      14.797098      14.412950
 6.803455      15.566351      15.850180
