        7720	DH
 59.897364      63.277810     110.707352
 59.897364      60.788455     109.270122
 62.264881      61.557708     107.832893
 62.264881      64.047063     109.270122
 64.632399      64.816316     107.832893
 64.632399      62.326961     106.395663
 66.999916      63.096214     104.958433
 66.999916      65.585569     106.395663
 69.367434      66.354822     104.958433
 69.367434      63.865467     103.521203
 71.734951      64.634720     102.083973
 71.734951      67.124075     103.521203
 74.102469      67.893328     102.083973
 74.102469      65.403973     100.646743
 76.469986      66.173226      99.209513
 76.469986      68.662581     100.646743
 78.837504      69.431834      99.209513
 78.837504      66.942479      97.772283
 81.205021      67.711732      96.335054
 81.205021      70.201087      97.772283
 83.572539      70.970341      96.335054
 83.572539      68.480985      94.897824
 85.940056      69.250238      93.460594
 85.940056      71.739594      94.897824
 88.307574      72.508847      93.460594
 88.307574      70.019491      92.023364
 90.675091      70.788745      90.586134
 90.675091      73.278100      92.023364
 93.042609      74.047353      90.586134
 93.042609      71.557998      89.148904
 95.410126      72.327251      87.711674
 95.410126      74.816606      89.148904
 97.777644      75.585859      87.711674
 97.777644      73.096504      86.274444
100.145161      73.865757      84.837214
100.145161      76.355112      86.274444
 59.897364      68.256520     107.832893
 59.897364      63.277810     104.958433
 59.897364      65.767165     106.395663
 62.264881      66.536418     104.958433
 62.264881      69.025773     106.395663
 64.632399      69.795026     104.958433
 59.897364      60.788455     103.521203
 62.264881      61.557708     102.083973
 62.264881      64.047063     103.521203
 64.632399      64.816316     102.083973
 64.632399      67.305671     103.521203
 66.999916      68.074924     102.083973
 66.999916      70.564280     103.521203
 69.367434      71.333533     102.083973
 64.632399      62.326961     100.646743
 66.999916      63.096214      99.209513
 66.999916      65.585569     100.646743
 69.367434      66.354822      99.209513
 69.367434      68.844177     100.646743
 71.734951      69.613430      99.209513
 71.734951      72.102786     100.646743
 74.102469      72.872039      99.209513
 69.367434      63.865467      97.772283
 71.734951      64.634720      96.335054
 71.734951      67.124075      97.772283
 74.102469      67.893328      96.335054
 74.102469      70.382683      97.772283
 76.469986      71.151937      96.335054
 76.469986      73.641292      97.772283
 78.837504      74.410545      96.335054
 74.102469      65.403973      94.897824
 76.469986      66.173226      93.460594
 76.469986      68.662581      94.897824
 78.837504      69.431834      93.460594
 78.837504      71.921190      94.897824
 81.205021      72.690443      93.460594
 81.205021      75.179798      94.897824
 83.572539      75.949051      93.460594
 78.837504      66.942479      92.023364
 81.205021      67.711732      90.586134
 81.205021      70.201087      92.023364
 83.572539      70.970341      90.586134
 83.572539      73.459696      92.023364
 85.940056      74.228949      90.586134
 85.940056      76.718304      92.023364
 88.307574      77.487557      90.586134
 83.572539      68.480985      89.148904
 85.940056      69.250238      87.711674
 85.940056      71.739594      89.148904
 88.307574      72.508847      87.711674
 88.307574      74.998202      89.148904
 90.675091      75.767455      87.711674
 90.675091      78.256810      89.148904
 93.042609      79.026063      87.711674
 88.307574      70.019491      86.274444
 90.675091      70.788745      84.837214
 90.675091      73.278100      86.274444
 93.042609      74.047353      84.837214
 93.042609      76.536708      86.274444
 95.410126      77.305961      84.837214
 95.410126      79.795316      86.274444
 93.042609      71.557998      83.399985
 95.410126      72.327251      81.962755
 95.410126      74.816606      83.399985
 59.897364      73.235231     104.958433
 59.897364      68.256520     102.083973
 59.897364      70.745876     103.521203
 62.264881      71.515129     102.083973
 62.264881      74.004484     103.521203
 64.632399      74.773737     102.083973
 59.897364      63.277810      99.209513
 59.897364      65.767165     100.646743
 62.264881      66.536418      99.209513
 62.264881      69.025773     100.646743
 64.632399      69.795026      99.209513
 64.632399      72.284382     100.646743
 66.999916      73.053635      99.209513
 66.999916      75.542990     100.646743
 69.367434      76.312243      99.209513
