         308	IH
13.906008      17.286454      18.724640
13.906008      14.797098      17.287410
13.906008      14.797098      20.161869
16.273525      15.566351      18.724640
13.906008      12.307743      18.724640
16.273525      13.076996      20.161869
17.736731      11.063066      18.724640
15.369214      10.293813      17.287410
13.906008      12.307743      21.599099
15.369214      10.293813      20.161869
16.832420       8.279882      18.724640
16.273525      13.076996      17.287410
18.641043      13.846249      18.724640
13.906008      12.307743      15.850180
13.001696       9.524559      18.724640
14.464903       7.510629      20.161869
13.001696       5.496698      18.724640
11.538490       7.510629      17.287410
13.001696       9.524559      21.599099
11.538490       7.510629      20.161869
10.075284       5.496698      18.724640
14.464903       7.510629      17.287410
15.928109       5.496698      18.724640
13.001696       9.524559      15.850180
10.075284       9.524559      18.724640
 8.612078       7.510629      20.161869
 6.244560       8.279882      18.724640
 7.707766      10.293813      17.287410
10.075284       9.524559      21.599099
 7.707766      10.293813      20.161869
 5.340249      11.063066      18.724640
 8.612078       7.510629      17.287410
 7.148871       5.496698      18.724640
10.075284       9.524559      15.850180
11.538490      11.538490      23.036329
11.538490      14.027845      21.599099
11.538490      16.517200      20.161869
11.538490      19.006556      18.724640
 9.170973      12.307743      18.724640
 6.803455      13.076996      20.161869
 6.803455      15.566351      18.724640
11.538490      11.538490      17.287410
11.538490      14.027845      15.850180
 9.170973      14.797098      17.287410
11.538490      11.538490      20.161869
 9.170973      12.307743      21.599099
 9.170973      14.797098      20.161869
11.538490      14.027845      18.724640
11.538490      16.517200      17.287410
 9.170973      17.286454      18.724640
 6.803455      13.076996      17.287410
 4.435938      13.846249      18.724640
11.538490      11.538490      14.412950
 9.170973      12.307743      15.850180
 9.170973       5.790527       4.352341
 9.170973       8.279882       5.789571
 9.170973       8.279882       2.915111
 6.803455       7.510629       4.352341
 9.170973      10.769237       4.352341
 6.803455       9.999984       2.915111
 5.340249      12.013915       4.352341
 7.707766      12.783168       5.789571
 9.170973      10.769237       1.477881
 7.707766      12.783168       2.915111
 6.244560      14.797098       4.352341
 6.803455       9.999984       5.789571
 4.435938       9.230731       4.352341
 9.170973      10.769237       7.226800
10.075284      13.552421       4.352341
 8.612078      15.566351       2.915111
10.075284      17.580282       4.352341
11.538490      15.566351       5.789571
10.075284      13.552421       1.477881
11.538490      15.566351       2.915111
13.001696      17.580282       4.352341
 8.612078      15.566351       5.789571
 7.148871      17.580282       4.352341
10.075284      13.552421       7.226800
13.001696      13.552421       4.352341
14.464903      15.566351       2.915111
16.832420      14.797098       4.352341
15.369214      12.783168       5.789571
13.001696      13.552421       1.477881
15.369214      12.783168       2.915111
17.736731      12.013915       4.352341
14.464903      15.566351       5.789571
15.928109      17.580282       4.352341
13.001696      13.552421       7.226800
11.538490      11.538490       0.040651
11.538490       9.049135       1.477881
11.538490       6.559780       2.915111
11.538490       4.070425       4.352341
13.906008      10.769237       4.352341
16.273525       9.999984       2.915111
16.273525       7.510629       4.352341
11.538490      11.538490       5.789571
11.538490       9.049135       7.226800
13.906008       8.279882       5.789571
11.538490      11.538490       2.915111
13.906008      10.769237       1.477881
13.906008       8.279882       2.915111
11.538490       9.049135       4.352341
11.538490       6.559780       5.789571
13.906008       5.790527       4.352341
16.273525       9.999984       5.789571
18.641043       9.230731       4.352341
11.538490      11.538490       8.664030
13.906008      10.769237       7.226800
10.075284      20.069637       8.664030
11.538490      18.055707      10.101260
13.001696      17.580282       7.226800
11.538490      19.594213       5.789571
11.538490      20.545062      11.538490
13.001696      20.069637       8.664030
14.464903      19.594213       5.789571
 8.612078      19.594213       5.789571
11.538490      15.566351       8.664030
10.075284      17.580282       7.226800
16.273525      15.566351      15.850180
16.273525      18.055707      17.287410
15.369214      19.300384      14.412950
15.369214      16.811029      12.975720
14.464903      18.055707      10.101260
14.464903      20.545062      11.538490
18.641043      16.335604      17.287410
