          85	OH
 7.848000        7.848000        0.000000
 5.886000        5.886000        3.924000
 7.848000        3.924000        3.924000
 9.810000        5.886000        3.924000
 3.924000        7.848000        3.924000
 5.886000        9.810000        3.924000
 7.848000        7.848000        3.924000
 9.810000        9.810000        3.924000
11.772000        7.848000        3.924000
 7.848000       11.772000        3.924000
 5.886000        1.962000        7.848000
 7.848000        0.000000        7.848000
 9.810000        1.962000        7.848000
 1.962000        5.886000        7.848000
 3.924000        3.924000        7.848000
 5.886000        5.886000        7.848000
 7.848000        3.924000        7.848000
 9.810000        5.886000        7.848000
11.772000        3.924000        7.848000
13.734000        5.886000        7.848000
 0.000000        7.848000        7.848000
 1.962000        9.810000        7.848000
 3.924000        7.848000        7.848000
 5.886000        9.810000        7.848000
 7.848000        7.848000        7.848000
 9.810000        9.810000        7.848000
11.772000        7.848000        7.848000
13.734000        9.810000        7.848000
15.696000        7.848000        7.848000
 3.924000       11.772000        7.848000
 5.886000       13.734000        7.848000
 7.848000       11.772000        7.848000
 9.810000       13.734000        7.848000
11.772000       11.772000        7.848000
 7.848000       15.696000        7.848000
 5.886000        5.886000       11.772000
 7.848000        3.924000       11.772000
 9.810000        5.886000       11.772000
 3.924000        7.848000       11.772000
 5.886000        9.810000       11.772000
 7.848000        7.848000       11.772000
 9.810000        9.810000       11.772000
11.772000        7.848000       11.772000
 7.848000       11.772000       11.772000
 7.848000        7.848000       15.696000
 7.848000        5.886000        1.962000
 5.886000        7.848000        1.962000
 7.848000        9.810000        1.962000
 9.810000        7.848000        1.962000
 7.848000        1.962000        5.886000
 3.924000        5.886000        5.886000
 5.886000        3.924000        5.886000
 7.848000        5.886000        5.886000
 9.810000        3.924000        5.886000
11.772000        5.886000        5.886000
 1.962000        7.848000        5.886000
 3.924000        9.810000        5.886000
 5.886000        7.848000        5.886000
 7.848000        9.810000        5.886000
 9.810000        7.848000        5.886000
11.772000        9.810000        5.886000
13.734000        7.848000        5.886000
 5.886000       11.772000        5.886000
 7.848000       13.734000        5.886000
 9.810000       11.772000        5.886000
 7.848000        1.962000        9.810000
 3.924000        5.886000        9.810000
 5.886000        3.924000        9.810000
 7.848000        5.886000        9.810000
 9.810000        3.924000        9.810000
11.772000        5.886000        9.810000
 1.962000        7.848000        9.810000
 3.924000        9.810000        9.810000
 5.886000        7.848000        9.810000
 7.848000        9.810000        9.810000
 9.810000        7.848000        9.810000
11.772000        9.810000        9.810000
13.734000        7.848000        9.810000
 5.886000       11.772000        9.810000
 7.848000       13.734000        9.810000
 9.810000       11.772000        9.810000
 7.848000        5.886000       13.734000
 5.886000        7.848000       13.734000
 7.848000        9.810000       13.734000
 9.810000        7.848000       13.734000
