          8621	RD
43.203240       43.203240        3.963240
39.279240       39.279240        7.887240
41.241240       41.241240        7.887240
43.203240       39.279240        7.887240
45.165240       41.241240        7.887240
47.127240       39.279240        7.887240
39.279240       43.203240        7.887240
41.241240       45.165240        7.887240
43.203240       43.203240        7.887240
45.165240       45.165240        7.887240
47.127240       43.203240        7.887240
39.279240       47.127240        7.887240
43.203240       47.127240        7.887240
47.127240       47.127240        7.887240
35.355240       35.355240       11.811240
37.317240       37.317240       11.811240
39.279240       35.355240       11.811240
41.241240       37.317240       11.811240
43.203240       35.355240       11.811240
45.165240       37.317240       11.811240
47.127240       35.355240       11.811240
49.089240       37.317240       11.811240
51.051240       35.355240       11.811240
35.355240       39.279240       11.811240
37.317240       41.241240       11.811240
39.279240       39.279240       11.811240
41.241240       41.241240       11.811240
43.203240       39.279240       11.811240
45.165240       41.241240       11.811240
47.127240       39.279240       11.811240
49.089240       41.241240       11.811240
51.051240       39.279240       11.811240
35.355240       43.203240       11.811240
37.317240       45.165240       11.811240
39.279240       43.203240       11.811240
41.241240       45.165240       11.811240
43.203240       43.203240       11.811240
45.165240       45.165240       11.811240
47.127240       43.203240       11.811240
49.089240       45.165240       11.811240
51.051240       43.203240       11.811240
35.355240       47.127240       11.811240
37.317240       49.089240       11.811240
39.279240       47.127240       11.811240
41.241240       49.089240       11.811240
43.203240       47.127240       11.811240
45.165240       49.089240       11.811240
47.127240       47.127240       11.811240
49.089240       49.089240       11.811240
51.051240       47.127240       11.811240
35.355240       51.051240       11.811240
39.279240       51.051240       11.811240
43.203240       51.051240       11.811240
47.127240       51.051240       11.811240
51.051240       51.051240       11.811240
31.431240       31.431240       15.735240
33.393240       33.393240       15.735240
35.355240       31.431240       15.735240
37.317240       33.393240       15.735240
39.279240       31.431240       15.735240
41.241240       33.393240       15.735240
43.203240       31.431240       15.735240
45.165240       33.393240       15.735240
47.127240       31.431240       15.735240
49.089240       33.393240       15.735240
51.051240       31.431240       15.735240
53.013240       33.393240       15.735240
54.975240       31.431240       15.735240
31.431240       35.355240       15.735240
33.393240       37.317240       15.735240
35.355240       35.355240       15.735240
37.317240       37.317240       15.735240
39.279240       35.355240       15.735240
41.241240       37.317240       15.735240
43.203240       35.355240       15.735240
45.165240       37.317240       15.735240
47.127240       35.355240       15.735240
49.089240       37.317240       15.735240
51.051240       35.355240       15.735240
53.013240       37.317240       15.735240
54.975240       35.355240       15.735240
31.431240       39.279240       15.735240
33.393240       41.241240       15.735240
35.355240       39.279240       15.735240
37.317240       41.241240       15.735240
39.279240       39.279240       15.735240
