          12479	SP
37.278000       37.278000        3.924000
41.202000       37.278000        3.924000
37.278000       41.202000        3.924000
39.240000       39.240000        3.924000
41.202000       41.202000        3.924000
33.354000       25.506000        7.848000
35.316000       23.544000        7.848000
37.278000       25.506000        7.848000
39.240000       23.544000        7.848000
41.202000       25.506000        7.848000
43.164000       23.544000        7.848000
45.126000       25.506000        7.848000
29.430000       29.430000        7.848000
31.392000       27.468000        7.848000
33.354000       29.430000        7.848000
35.316000       27.468000        7.848000
37.278000       29.430000        7.848000
39.240000       27.468000        7.848000
41.202000       29.430000        7.848000
43.164000       27.468000        7.848000
45.126000       29.430000        7.848000
47.088000       27.468000        7.848000
49.050000       29.430000        7.848000
25.506000       33.354000        7.848000
27.468000       31.392000        7.848000
29.430000       33.354000        7.848000
31.392000       31.392000        7.848000
33.354000       33.354000        7.848000
35.316000       31.392000        7.848000
37.278000       33.354000        7.848000
39.240000       31.392000        7.848000
41.202000       33.354000        7.848000
43.164000       31.392000        7.848000
45.126000       33.354000        7.848000
47.088000       31.392000        7.848000
49.050000       33.354000        7.848000
51.012000       31.392000        7.848000
52.974000       33.354000        7.848000
23.544000       35.316000        7.848000
25.506000       37.278000        7.848000
27.468000       35.316000        7.848000
29.430000       37.278000        7.848000
31.392000       35.316000        7.848000
33.354000       37.278000        7.848000
35.316000       35.316000        7.848000
37.278000       37.278000        7.848000
39.240000       35.316000        7.848000
41.202000       37.278000        7.848000
43.164000       35.316000        7.848000
45.126000       37.278000        7.848000
47.088000       35.316000        7.848000
49.050000       37.278000        7.848000
51.012000       35.316000        7.848000
52.974000       37.278000        7.848000
54.936000       35.316000        7.848000
23.544000       39.240000        7.848000
25.506000       41.202000        7.848000
27.468000       39.240000        7.848000
29.430000       41.202000        7.848000
31.392000       39.240000        7.848000
33.354000       41.202000        7.848000
35.316000       39.240000        7.848000
37.278000       41.202000        7.848000
39.240000       39.240000        7.848000
41.202000       41.202000        7.848000
43.164000       39.240000        7.848000
45.126000       41.202000        7.848000
47.088000       39.240000        7.848000
49.050000       41.202000        7.848000
51.012000       39.240000        7.848000
52.974000       41.202000        7.848000
54.936000       39.240000        7.848000
23.544000       43.164000        7.848000
25.506000       45.126000        7.848000
27.468000       43.164000        7.848000
29.430000       45.126000        7.848000
31.392000       43.164000        7.848000
33.354000       45.126000        7.848000
35.316000       43.164000        7.848000
37.278000       45.126000        7.848000
39.240000       43.164000        7.848000
41.202000       45.126000        7.848000
43.164000       43.164000        7.848000
45.126000       45.126000        7.848000
47.088000       43.164000        7.848000
49.050000       45.126000        7.848000
51.012000       43.164000        7.848000
52.974000       45.126000        7.848000
54.936000       43.164000        7.848000
27.468000       47.088000        7.848000
29.430000       49.050000        7.848000
31.392000       47.088000        7.848000
33.354000       49.050000        7.848000
35.316000       47.088000        7.848000
37.278000       49.050000        7.848000
39.240000       47.088000        7.848000
41.202000       49.050000        7.848000
43.164000       47.088000        7.848000
45.126000       49.050000        7.848000
47.088000       47.088000        7.848000
49.050000       49.050000        7.848000
51.012000       47.088000        7.848000
31.392000       51.012000        7.848000
33.354000       52.974000        7.848000
35.316000       51.012000        7.848000
37.278000       52.974000        7.848000
39.240000       51.012000        7.848000
41.202000       52.974000        7.848000
43.164000       51.012000        7.848000
45.126000       52.974000        7.848000
47.088000       51.012000        7.848000
35.316000       54.936000        7.848000
39.240000       54.936000        7.848000
43.164000       54.936000        7.848000
33.354000       17.658000       11.772000
37.278000       17.658000       11.772000
41.202000       17.658000       11.772000
45.126000       17.658000       11.772000
25.506000       21.582000       11.772000
29.430000       21.582000       11.772000
31.392000       19.620000       11.772000
33.354000       21.582000       11.772000
35.316000       19.620000       11.772000
37.278000       21.582000       11.772000
39.240000       19.620000       11.772000
41.202000       21.582000       11.772000
43.164000       19.620000       11.772000
45.126000       21.582000       11.772000
47.088000       19.620000       11.772000
49.050000       21.582000       11.772000
52.974000       21.582000       11.772000
21.582000       25.506000       11.772000
23.544000       23.544000       11.772000
25.506000       25.506000       11.772000
27.468000       23.544000       11.772000
29.430000       25.506000       11.772000
31.392000       23.544000       11.772000
33.354000       25.506000       11.772000
35.316000       23.544000       11.772000
37.278000       25.506000       11.772000
39.240000       23.544000       11.772000
41.202000       25.506000       11.772000
43.164000       23.544000       11.772000
45.126000       25.506000       11.772000
47.088000       23.544000       11.772000
49.050000       25.506000       11.772000
51.012000       23.544000       11.772000
52.974000       25.506000       11.772000
54.936000       23.544000       11.772000
56.898000       25.506000       11.772000
21.582000       29.430000       11.772000
23.544000       27.468000       11.772000
25.506000       29.430000       11.772000
27.468000       27.468000       11.772000
29.430000       29.430000       11.772000
31.392000       27.468000       11.772000
33.354000       29.430000       11.772000
35.316000       27.468000       11.772000
37.278000       29.430000       11.772000
39.240000       27.468000       11.772000
41.202000       29.430000       11.772000
43.164000       27.468000       11.772000
45.126000       29.430000       11.772000
47.088000       27.468000       11.772000
49.050000       29.430000       11.772000
51.012000       27.468000       11.772000
52.974000       29.430000       11.772000
54.936000       27.468000       11.772000
56.898000       29.430000       11.772000
17.658000       33.354000       11.772000
19.620000       31.392000       11.772000
21.582000       33.354000       11.772000
23.544000       31.392000       11.772000
25.506000       33.354000       11.772000
27.468000       31.392000       11.772000
29.430000       33.354000       11.772000
31.392000       31.392000       11.772000
33.354000       33.354000       11.772000
35.316000       31.392000       11.772000
37.278000       33.354000       11.772000
39.240000       31.392000       11.772000
41.202000       33.354000       11.772000
43.164000       31.392000       11.772000
45.126000       33.354000       11.772000
47.088000       31.392000       11.772000
49.050000       33.354000       11.772000
51.012000       31.392000       11.772000
52.974000       33.354000       11.772000
54.936000       31.392000       11.772000
56.898000       33.354000       11.772000
