          63	THH
 3.916300        3.916300        3.916300
 5.874450        5.874450        3.916300
 7.832600        3.916300        3.916300
 9.790750        5.874450        3.916300
11.748900        3.916300        3.916300
 3.916300        7.832600        3.916300
 5.874450        9.790750        3.916300
 7.832600        7.832600        3.916300
 9.790750        9.790750        3.916300
11.748900        7.832600        3.916300
 3.916300       11.748900        3.916300
 7.832600       11.748900        3.916300
11.748900       11.748900        3.916300
 3.916300        3.916300        7.832600
 5.874450        5.874450        7.832600
 7.832600        3.916300        7.832600
 9.790750        5.874450        7.832600
11.748900        3.916300        7.832600
 3.916300        7.832600        7.832600
 5.874450        9.790750        7.832600
 7.832600        7.832600        7.832600
 9.790750        9.790750        7.832600
11.748900        7.832600        7.832600
 3.916300       11.748900        7.832600
 7.832600       11.748900        7.832600
11.748900       11.748900        7.832600
 3.916300        3.916300       11.748900
 5.874450        5.874450       11.748900
 7.832600        3.916300       11.748900
 9.790750        5.874450       11.748900
11.748900        3.916300       11.748900
 3.916300        7.832600       11.748900
 5.874450        9.790750       11.748900
 7.832600        7.832600       11.748900
 9.790750        9.790750       11.748900
11.748900        7.832600       11.748900
 3.916300       11.748900       11.748900
 7.832600       11.748900       11.748900
11.748900       11.748900       11.748900
 3.916300        5.874450        5.874450
 5.874450        3.916300        5.874450
 7.832600        5.874450        5.874450
 9.790750        3.916300        5.874450
11.748900        5.874450        5.874450
 3.916300        9.790750        5.874450
 5.874450        7.832600        5.874450
 7.832600        9.790750        5.874450
 9.790750        7.832600        5.874450
11.748900        9.790750        5.874450
 5.874450       11.748900        5.874450
 9.790750       11.748900        5.874450
 3.916300        5.874450        9.790750
 5.874450        3.916300        9.790750
 7.832600        5.874450        9.790750
 9.790750        3.916300        9.790750
11.748900        5.874450        9.790750
 3.916300        9.790750        9.790750
 5.874450        7.832600        9.790750
 7.832600        9.790750        9.790750
 9.790750        7.832600        9.790750
11.748900        9.790750        9.790750
 5.874450       11.748900        9.790750
 9.790750       11.748900        9.790750
