          10245	OH
45.126000       41.202000        7.848000
47.088000       39.240000        7.848000
49.050000       41.202000        7.848000
41.202000       45.126000        7.848000
43.164000       43.164000        7.848000
45.126000       45.126000        7.848000
47.088000       43.164000        7.848000
49.050000       45.126000        7.848000
51.012000       43.164000        7.848000
52.974000       45.126000        7.848000
39.240000       47.088000        7.848000
41.202000       49.050000        7.848000
43.164000       47.088000        7.848000
45.126000       49.050000        7.848000
47.088000       47.088000        7.848000
49.050000       49.050000        7.848000
51.012000       47.088000        7.848000
52.974000       49.050000        7.848000
54.936000       47.088000        7.848000
43.164000       51.012000        7.848000
45.126000       52.974000        7.848000
47.088000       51.012000        7.848000
49.050000       52.974000        7.848000
51.012000       51.012000        7.848000
47.088000       54.936000        7.848000
45.126000       37.278000       11.772000
47.088000       35.316000       11.772000
49.050000       37.278000       11.772000
41.202000       41.202000       11.772000
43.164000       39.240000       11.772000
45.126000       41.202000       11.772000
47.088000       39.240000       11.772000
49.050000       41.202000       11.772000
51.012000       39.240000       11.772000
52.974000       41.202000       11.772000
37.278000       45.126000       11.772000
39.240000       43.164000       11.772000
41.202000       45.126000       11.772000
43.164000       43.164000       11.772000
45.126000       45.126000       11.772000
47.088000       43.164000       11.772000
49.050000       45.126000       11.772000
51.012000       43.164000       11.772000
52.974000       45.126000       11.772000
54.936000       43.164000       11.772000
56.898000       45.126000       11.772000
35.316000       47.088000       11.772000
37.278000       49.050000       11.772000
39.240000       47.088000       11.772000
41.202000       49.050000       11.772000
43.164000       47.088000       11.772000
45.126000       49.050000       11.772000
47.088000       47.088000       11.772000
49.050000       49.050000       11.772000
51.012000       47.088000       11.772000
52.974000       49.050000       11.772000
54.936000       47.088000       11.772000
56.898000       49.050000       11.772000
58.860000       47.088000       11.772000
39.240000       51.012000       11.772000
41.202000       52.974000       11.772000
43.164000       51.012000       11.772000
45.126000       52.974000       11.772000
47.088000       51.012000       11.772000
49.050000       52.974000       11.772000
51.012000       51.012000       11.772000
52.974000       52.974000       11.772000
54.936000       51.012000       11.772000
43.164000       54.936000       11.772000
45.126000       56.898000       11.772000
47.088000       54.936000       11.772000
49.050000       56.898000       11.772000
51.012000       54.936000       11.772000
47.088000       58.860000       11.772000
45.126000       33.354000       15.696000
47.088000       31.392000       15.696000
49.050000       33.354000       15.696000
41.202000       37.278000       15.696000
43.164000       35.316000       15.696000
45.126000       37.278000       15.696000
47.088000       35.316000       15.696000
49.050000       37.278000       15.696000
51.012000       35.316000       15.696000
52.974000       37.278000       15.696000
37.278000       41.202000       15.696000
39.240000       39.240000       15.696000
41.202000       41.202000       15.696000
43.164000       39.240000       15.696000
45.126000       41.202000       15.696000
47.088000       39.240000       15.696000
49.050000       41.202000       15.696000
51.012000       39.240000       15.696000
52.974000       41.202000       15.696000
54.936000       39.240000       15.696000
56.898000       41.202000       15.696000
33.354000       45.126000       15.696000
35.316000       43.164000       15.696000
37.278000       45.126000       15.696000
39.240000       43.164000       15.696000
41.202000       45.126000       15.696000
43.164000       43.164000       15.696000
45.126000       45.126000       15.696000
47.088000       43.164000       15.696000
49.050000       45.126000       15.696000
51.012000       43.164000       15.696000
52.974000       45.126000       15.696000
54.936000       43.164000       15.696000
56.898000       45.126000       15.696000
58.860000       43.164000       15.696000
60.822000       45.126000       15.696000
31.392000       47.088000       15.696000
33.354000       49.050000       15.696000
35.316000       47.088000       15.696000
37.278000       49.050000       15.696000
39.240000       47.088000       15.696000
41.202000       49.050000       15.696000
43.164000       47.088000       15.696000
45.126000       49.050000       15.696000
47.088000       47.088000       15.696000
49.050000       49.050000       15.696000
51.012000       47.088000       15.696000
52.974000       49.050000       15.696000
54.936000       47.088000       15.696000
56.898000       49.050000       15.696000
58.860000       47.088000       15.696000
60.822000       49.050000       15.696000
62.784000       47.088000       15.696000
35.316000       51.012000       15.696000
37.278000       52.974000       15.696000
39.240000       51.012000       15.696000
41.202000       52.974000       15.696000
43.164000       51.012000       15.696000
45.126000       52.974000       15.696000
47.088000       51.012000       15.696000
49.050000       52.974000       15.696000
51.012000       51.012000       15.696000
52.974000       52.974000       15.696000
54.936000       51.012000       15.696000
56.898000       52.974000       15.696000
58.860000       51.012000       15.696000
39.240000       54.936000       15.696000
41.202000       56.898000       15.696000
43.164000       54.936000       15.696000
45.126000       56.898000       15.696000
47.088000       54.936000       15.696000
49.050000       56.898000       15.696000
51.012000       54.936000       15.696000
52.974000       56.898000       15.696000
54.936000       54.936000       15.696000
43.164000       58.860000       15.696000
45.126000       60.822000       15.696000
47.088000       58.860000       15.696000
49.050000       60.822000       15.696000
51.012000       58.860000       15.696000
47.088000       62.784000       15.696000
45.126000       29.430000       19.620000
47.088000       27.468000       19.620000
49.050000       29.430000       19.620000
41.202000       33.354000       19.620000
43.164000       31.392000       19.620000
45.126000       33.354000       19.620000
47.088000       31.392000       19.620000
49.050000       33.354000       19.620000
51.012000       31.392000       19.620000
52.974000       33.354000       19.620000
37.278000       37.278000       19.620000
39.240000       35.316000       19.620000
41.202000       37.278000       19.620000
43.164000       35.316000       19.620000
45.126000       37.278000       19.620000
47.088000       35.316000       19.620000
49.050000       37.278000       19.620000
51.012000       35.316000       19.620000
52.974000       37.278000       19.620000
54.936000       35.316000       19.620000
56.898000       37.278000       19.620000
33.354000       41.202000       19.620000
35.316000       39.240000       19.620000
37.278000       41.202000       19.620000
39.240000       39.240000       19.620000
41.202000       41.202000       19.620000
43.164000       39.240000       19.620000
45.126000       41.202000       19.620000
47.088000       39.240000       19.620000
49.050000       41.202000       19.620000
51.012000       39.240000       19.620000
52.974000       41.202000       19.620000
54.936000       39.240000       19.620000
56.898000       41.202000       19.620000
58.860000       39.240000       19.620000
60.822000       41.202000       19.620000
