	63
     0	     0	-226.467873
     2	     1	-226.745351
     3	     2	-227.270701
     5	     3	-227.457763
     6	     4	-227.862511
     7	     5	-227.910888
     8	     6	-228.098581
    10	     7	-228.302125
    12	     8	-228.474127
    13	     9	-228.627118
    16	    10	-228.700484
    18	    11	-228.885303
    20	    12	-228.897055
    21	    13	-228.987422
    22	    14	-229.105065
    25	    15	-229.121559
    26	    16	-229.133042
    28	    17	-229.134069
    30	    18	-229.170282
    32	    19	-229.185390
    34	    20	-229.217648
    35	    21	-229.219968
    41	    22	-229.222140
    47	    23	-229.228983
    50	    24	-229.230935
    70	    25	-229.235579
   101	    26	-229.237355
   148	    27	-229.242100
   248	    27	-229.243769
