	63
     0	     0	-252.194061
     1	     1	-252.770148
     7	     2	-253.134378
     9	     3	-253.332847
    10	     4	-253.553046
    12	     5	-253.582687
    16	     6	-253.742103
    24	     7	-253.803400
    27	     8	-254.031888
    31	     9	-254.042934
    37	    10	-254.057814
    46	    11	-254.115612
    47	    12	-254.352479
    58	    13	-254.567951
    83	    14	-254.571608
    84	    15	-255.073505
    86	    16	-255.652858
    88	    17	-255.658986
   102	    18	-255.714032
   107	    19	-255.887637
   114	    20	-256.121984
   115	    21	-256.283522
   117	    22	-256.318822
   140	    23	-256.359807
   151	    24	-256.389281
   158	    25	-256.399803
   165	    26	-256.416748
   172	    27	-256.421123
   240	    28	-256.421295
   281	    29	-256.429629
   328	    30	-256.654521
   332	    31	-256.681282
   355	    32	-256.681891
   418	    33	-256.682980
   815	    34	-256.682980
  1110	    35	-256.682980
  1184	    36	-256.682980
  1523	    37	-256.682998
  1939	    38	-256.690638
  2142	    39	-256.690638
  2509	    40	-256.690638
  2528	    41	-256.690638
  2653	    42	-256.690638
  2719	    43	-256.690638
  3366	    44	-256.690638
  3449	    45	-256.690638
  3500	    46	-256.690638
  4422	    47	-256.690638
  4700	    48	-256.690638
  4971	    49	-256.690638
  5224	    50	-256.690638
  5837	    51	-256.690638
  6583	    52	-256.690638
  6662	    53	-256.690638
  7414	    54	-256.690638
  7744	    55	-256.690638
  7785	    56	-256.690638
  8195	    57	-256.690638
  8309	    58	-256.690638
  8599	    59	-256.690638
  8707	    60	-256.690638
  9154	    61	-256.690638
  9327	    62	-256.690638
  9961	    63	-256.690638
 10515	    64	-256.690638
 10837	    65	-256.690638
 11292	    66	-256.690638
 11808	    67	-256.690638
 12136	    68	-256.690638
 12244	    69	-256.690638
 12250	    70	-256.690638
 12353	    71	-256.690638
 12969	    72	-256.690638
 14021	    73	-256.690638
 14576	    74	-256.690638
 14673	    75	-256.690638
 14933	    76	-256.690638
 14943	    77	-256.690638
 15042	    78	-256.690638
 15136	    79	-256.690638
 15648	    80	-256.690638
 16469	    81	-256.690638
 16470	    82	-256.690638
 16523	    83	-256.690638
 16727	    84	-256.690638
 16860	    85	-256.690638
 16991	    86	-256.690638
 17071	    87	-256.690638
 17121	    88	-256.690638
 17961	    89	-256.690638
 18088	    90	-256.690638
 18223	    91	-256.690638
 18744	    92	-256.690638
 18865	    93	-256.690638
 19335	    94	-256.690638
 19442	    95	-256.690638
 19453	    96	-256.690638
 20118	    97	-256.690638
 20167	    98	-256.690638
 20945	    99	-256.690638
 21030	   100	-256.690638
 21449	   101	-256.690638
 22094	   102	-256.690638
 22445	   103	-256.690638
 22503	   104	-256.690638
 22759	   105	-256.690638
 23233	   106	-256.690638
 23589	   107	-256.690638
 23767	   108	-256.690638
 23861	   109	-256.690638
 23990	   110	-256.690638
 24226	   111	-256.690638
 24249	   112	-256.690638
 24763	   113	-256.690638
 25079	   114	-256.690638
 25146	   115	-256.690638
 25717	   116	-256.690638
 26101	   117	-256.690638
 26209	   118	-256.690638
 26687	   119	-256.690638
 26776	   120	-256.690638
 26976	   121	-256.690638
 27446	   122	-256.690638
 27560	   123	-256.690638
 27712	   124	-256.690638
 27793	   125	-256.690638
 28676	   126	-256.690638
 28699	   127	-256.690638
 29340	   128	-256.690638
 30125	   129	-256.690638
 30579	   130	-256.690638
 30765	   131	-256.690638
 30943	   132	-256.690638
 31364	   133	-256.690638
 31461	   134	-256.690638
 31617	   135	-256.690638
 31653	   136	-256.690638
 32011	   137	-256.690638
 32313	   138	-256.690638
 32543	   139	-256.690638
 32773	   140	-256.690638
 33185	   141	-256.690638
 33457	   142	-256.690638
 33554	   143	-256.690638
 33793	   144	-256.690638
 33917	   145	-256.690638
 34349	   146	-256.690638
 35372	   147	-256.690638
 35779	   148	-256.690638
 36006	   149	-256.690638
 36040	   150	-256.690638
 36406	   151	-256.690638
 36433	   152	-256.690638
 37398	   153	-256.690638
 37543	   154	-256.690638
 37674	   155	-256.690638
 38144	   156	-256.690638
 38601	   157	-256.690638
 39067	   158	-256.690638
 39282	   159	-256.690638
 39382	   160	-256.690638
 39928	   161	-256.690638
 40030	   162	-256.690638
 40264	   163	-256.690638
 40442	   164	-256.690638
 40846	   165	-256.690638
 41397	   166	-256.690638
 41549	   167	-256.690638
 41687	   168	-256.690638
 42164	   169	-256.690638
 42266	   170	-256.690638
 42483	   171	-256.690638
 42756	   172	-256.690638
 42969	   173	-256.690638
 44116	   174	-256.690638
 44774	   175	-256.690638
 44996	   176	-256.690638
 45016	   177	-256.690638
 45067	   178	-256.690638
 45655	   179	-256.690638
 46184	   180	-256.690638
 46239	   181	-256.690638
 46327	   182	-256.690638
 46864	   183	-256.690638
 47397	   184	-256.690638
 47575	   185	-256.690638
 48035	   186	-256.690638
 48107	   187	-256.690638
 48146	   188	-256.690638
 48364	   189	-256.690638
 48637	   190	-256.690638
 49307	   191	-256.690638
 49713	   192	-256.690638
 50609	   193	-256.690638
 50805	   194	-256.690638
 51344	   195	-256.690638
 51654	   196	-256.690638
 52276	   197	-256.690638
 52344	   198	-256.690638
 53087	   199	-256.690638
 53562	   200	-256.690638
 54296	   201	-256.690638
 54347	   202	-256.690638
 54393	   203	-256.690638
 54739	   204	-256.690638
 55059	   205	-256.690638
 55878	   206	-256.690638
 57071	   207	-256.690638
 57125	   208	-256.690638
 57298	   209	-256.690638
 57642	   210	-256.690638
 57865	   211	-256.690638
 58261	   212	-256.690638
 58469	   213	-256.690638
 58543	   214	-256.690638
 58670	   215	-256.690638
 58999	   216	-256.690638
 59762	   217	-256.690638
 60159	   218	-256.690638
 60292	   219	-256.690638
 60318	   220	-256.690638
 60625	   221	-256.690638
 60749	   222	-256.690638
 61441	   223	-256.690638
 61643	   224	-256.690638
 61875	   225	-256.690638
 62239	   226	-256.690638
 62341	   227	-256.690638
 62469	   228	-256.690638
 63035	   229	-256.690638
 63872	   230	-256.690638
 64052	   231	-256.690638
 64086	   232	-256.690638
 64518	   233	-256.690638
 64847	   234	-256.690638
 65021	   235	-256.690638
 65361	   236	-256.690638
 65373	   237	-256.690638
 65510	   238	-256.690638
 65538	   239	-256.690638
 65694	   240	-256.690638
 65863	   241	-256.690638
 65864	   242	-256.690638
 66122	   243	-256.690638
 66704	   244	-256.690638
 66837	   245	-256.690638
 66863	   246	-256.690638
 67168	   247	-256.690638
 67694	   248	-256.690638
 67803	   249	-256.690638
 67855	   250	-256.690638
 68561	   251	-256.690638
 69080	   252	-256.690638
 69407	   253	-256.690638
 69686	   254	-256.690638
 70549	   255	-256.690638
 70612	   256	-256.690638
 70807	   257	-256.690638
 71476	   258	-256.690638
 72626	   259	-256.690638
 73033	   260	-256.690638
 74161	   261	-256.690638
 74312	   262	-256.690638
 74353	   263	-256.690638
 74867	   264	-256.690638
 75211	   265	-256.690638
 75311	   266	-256.690638
 75385	   267	-256.690638
 75511	   268	-256.690638
 75627	   269	-256.690638
 75670	   270	-256.690638
 76768	   271	-256.690638
 77185	   272	-256.690638
 78027	   273	-256.690638
 78281	   274	-256.690638
 78583	   275	-256.690638
 78618	   276	-256.690638
 78708	   277	-256.690638
 79020	   278	-256.690638
 79534	   279	-256.690638
 79603	   280	-256.690638
 79650	   281	-256.690638
 80805	   282	-256.690638
 80863	   283	-256.690638
 81031	   284	-256.690638
 81199	   285	-256.690638
 81480	   286	-256.690638
 82223	   287	-256.690638
 82461	   288	-256.690638
 83292	   289	-256.690638
 83415	   290	-256.690638
 83421	   291	-256.690638
 83894	   292	-256.690638
 84066	   293	-256.690638
 84133	   294	-256.690638
 84236	   295	-256.690638
 84500	   296	-256.690638
 84780	   297	-256.690638
 85305	   298	-256.690638
 85400	   299	-256.690638
 85629	   300	-256.690638
 85749	   301	-256.690638
 86700	   302	-256.690638
 86837	   303	-256.690638
 87001	   304	-256.690638
 87020	   305	-256.690638
 87432	   306	-256.690638
 87543	   307	-256.690638
 87925	   308	-256.690638
 88349	   309	-256.690638
 88543	   310	-256.690638
 88569	   311	-256.690638
 89096	   312	-256.690638
 90172	   313	-256.690638
 90949	   314	-256.690638
 91384	   315	-256.690638
 91675	   316	-256.690638
 92272	   317	-256.690638
 92715	   318	-256.690638
 92777	   319	-256.690638
 92894	   320	-256.690638
 93216	   321	-256.690638
 93593	   322	-256.690638
 93936	   323	-256.690638
 94247	   324	-256.690638
 94278	   325	-256.690638
 94527	   326	-256.690638
 94563	   327	-256.690638
 94615	   328	-256.690638
 94872	   329	-256.690638
 95021	   330	-256.690638
 95091	   331	-256.690638
 96592	   332	-256.690638
 96865	   333	-256.690638
 97006	   334	-256.690638
 97313	   335	-256.690638
 97325	   336	-256.690638
 97525	   337	-256.690638
 97569	   338	-256.690638
 98188	   339	-256.690638
 98764	   340	-256.690638
 99339	   341	-256.690638
 99435	   342	-256.690638
 99651	   343	-256.690638
