	63
     0	     0	-224.911898
     1	     1	-225.019245
     4	     2	-225.242039
     5	     3	-225.475778
     9	     4	-225.665930
    13	     5	-225.951732
    14	     6	-226.034183
    18	     7	-226.179641
    20	     8	-226.307540
    24	     9	-226.769418
    30	    10	-226.847820
    31	    11	-227.003131
    33	    12	-227.056345
    35	    13	-227.143736
    36	    14	-227.166639
    38	    15	-227.168672
    42	    16	-227.332239
    61	    17	-227.606389
    62	    18	-227.620334
    73	    19	-227.645266
    86	    20	-227.655862
    91	    21	-227.912047
   117	    22	-227.941160
   128	    23	-227.955092
   136	    24	-228.010980
   158	    25	-228.082651
   168	    26	-228.090785
   174	    27	-228.138683
   182	    28	-228.199524
   210	    29	-228.245716
   271	    30	-228.251947
   287	    31	-228.266624
   293	    32	-228.456579
   294	    33	-228.456623
   296	    34	-228.566091
   314	    35	-228.579522
   323	    36	-228.596350
   335	    37	-228.600438
   336	    38	-228.613090
   352	    39	-228.672942
   358	    40	-228.690796
   360	    41	-228.707295
   401	    42	-228.720228
   418	    43	-228.785171
   430	    44	-228.798833
   432	    45	-228.804537
   577	    46	-228.866436
   685	    47	-228.867446
   739	    48	-228.871559
   798	    49	-228.878129
   810	    50	-229.018846
   818	    51	-229.029448
   830	    52	-229.087954
   859	    53	-229.203676
   918	    54	-229.204736
   979	    55	-229.223994
  1264	    56	-229.235406
  1329	    57	-229.236682
  1338	    58	-229.236683
