	63
     0	     0	-226.099975
     1	     1	-226.548440
     2	     2	-226.715050
     4	     3	-226.943991
     5	     4	-227.020008
     6	     5	-227.195864
     7	     6	-227.211309
     8	     7	-227.300435
     9	     8	-227.459911
    10	     9	-227.464179
    11	    10	-227.627225
    12	    11	-227.911742
    14	    12	-228.041715
    15	    13	-228.081076
    17	    14	-228.106927
    18	    15	-228.172110
    19	    16	-228.213222
    20	    17	-228.321788
    21	    18	-228.323250
    23	    19	-228.542206
    24	    20	-228.585265
    25	    21	-228.616321
    26	    22	-228.683015
    27	    23	-228.724964
    28	    24	-228.748608
    29	    25	-228.776586
    30	    26	-228.819987
    31	    27	-228.851202
    33	    28	-228.990370
    35	    29	-229.006707
    37	    30	-229.065645
    38	    31	-229.156868
    39	    32	-229.190152
    41	    33	-229.196533
    44	    34	-229.203378
    47	    35	-229.210098
    50	    36	-229.216675
    52	    37	-229.226413
    54	    38	-229.227850
    55	    39	-229.235522
    56	    40	-229.242100
   156	    40	-229.242100
   256	    40	-229.242100
   356	    40	-229.242100
   456	    40	-229.242100
   556	    40	-229.242100
   656	    40	-229.242100
   756	    40	-229.242100
   856	    40	-229.242100
   956	    40	-229.242100
  1056	    40	-229.242100
