       13024	DH
 71.395203      74.775649     133.703031
 71.395203      72.286294     132.265801
 73.762721      73.055547     130.828571
 73.762721      75.544902     132.265801
 76.130238      76.314155     130.828571
 76.130238      73.824800     129.391341
 78.497756      74.594053     127.954111
 78.497756      77.083408     129.391341
 80.865273      77.852661     127.954111
 80.865273      75.363306     126.516881
 83.232790      76.132559     125.079651
 83.232790      78.621914     126.516881
 85.600308      79.391167     125.079651
 85.600308      76.901812     123.642421
 87.967825      77.671065     122.205191
 87.967825      80.160420     123.642421
 90.335343      80.929674     122.205191
 90.335343      78.440318     120.767962
 92.702860      79.209571     119.330732
 92.702860      81.698927     120.767962
 95.070378      82.468180     119.330732
 95.070378      79.978824     117.893502
 97.437895      80.748078     116.456272
 97.437895      83.237433     117.893502
 99.805413      84.006686     116.456272
 99.805413      81.517331     115.019042
102.172930      82.286584     113.581812
102.172930      84.775939     115.019042
104.540448      85.545192     113.581812
104.540448      83.055837     112.144582
106.907965      83.825090     110.707352
106.907965      86.314445     112.144582
109.275483      87.083698     110.707352
109.275483      84.594343     109.270122
111.643000      85.363596     107.832893
111.643000      87.852951     109.270122
114.010518      88.622204     107.832893
114.010518      86.132849     106.395663
116.378035      86.902102     104.958433
116.378035      89.391457     106.395663
118.745553      90.160710     104.958433
118.745553      87.671355     103.521203
121.113070      88.440608     102.083973
121.113070      90.929963     103.521203
 71.395203      79.754359     130.828571
 71.395203      74.775649     127.954111
 71.395203      77.265004     129.391341
 73.762721      78.034257     127.954111
 73.762721      80.523612     129.391341
 76.130238      81.292866     127.954111
 71.395203      72.286294     126.516881
 73.762721      73.055547     125.079651
 73.762721      75.544902     126.516881
 76.130238      76.314155     125.079651
 76.130238      78.803510     126.516881
 78.497756      79.572763     125.079651
 78.497756      82.062119     126.516881
 80.865273      82.831372     125.079651
 76.130238      73.824800     123.642421
 78.497756      74.594053     122.205191
 78.497756      77.083408     123.642421
 80.865273      77.852661     122.205191
 80.865273      80.342016     123.642421
 83.232790      81.111270     122.205191
 83.232790      83.600625     123.642421
 85.600308      84.369878     122.205191
 80.865273      75.363306     120.767962
 83.232790      76.132559     119.330732
 83.232790      78.621914     120.767962
 85.600308      79.391167     119.330732
 85.600308      81.880523     120.767962
 87.967825      82.649776     119.330732
 87.967825      85.139131     120.767962
 90.335343      85.908384     119.330732
 85.600308      76.901812     117.893502
 87.967825      77.671065     116.456272
 87.967825      80.160420     117.893502
 90.335343      80.929674     116.456272
 90.335343      83.419029     117.893502
 92.702860      84.188282     116.456272
 92.702860      86.677637     117.893502
 95.070378      87.446890     116.456272
 90.335343      78.440318     115.019042
 92.702860      79.209571     113.581812
 92.702860      81.698927     115.019042
 95.070378      82.468180     113.581812
 95.070378      84.957535     115.019042
 97.437895      85.726788     113.581812
 97.437895      88.216143     115.019042
 99.805413      88.985396     113.581812
 95.070378      79.978824     112.144582
 97.437895      80.748078     110.707352
 97.437895      83.237433     112.144582
 99.805413      84.006686     110.707352
 99.805413      86.496041     112.144582
102.172930      87.265294     110.707352
102.172930      89.754649     112.144582
104.540448      90.523902     110.707352
 99.805413      81.517331     109.270122
102.172930      82.286584     107.832893
102.172930      84.775939     109.270122
104.540448      85.545192     107.832893
104.540448      88.034547     109.270122
106.907965      88.803800     107.832893
106.907965      91.293155     109.270122
109.275483      92.062408     107.832893
104.540448      83.055837     106.395663
106.907965      83.825090     104.958433
106.907965      86.314445     106.395663
109.275483      87.083698     104.958433
109.275483      89.573053     106.395663
111.643000      90.342306     104.958433
111.643000      92.831661     106.395663
114.010518      93.600914     104.958433
109.275483      84.594343     103.521203
111.643000      85.363596     102.083973
111.643000      87.852951     103.521203
114.010518      88.622204     102.083973
114.010518      91.111559     103.521203
116.378035      91.880812     102.083973
116.378035      94.370168     103.521203
114.010518      86.132849     100.646743
116.378035      86.902102      99.209513
116.378035      89.391457     100.646743
 71.395203      84.733070     127.954111
 71.395203      79.754359     125.079651
 71.395203      82.243715     126.516881
 73.762721      83.012968     125.079651
 73.762721      85.502323     126.516881
 76.130238      86.271576     125.079651
 71.395203      74.775649     122.205191
 71.395203      77.265004     123.642421
 73.762721      78.034257     122.205191
 73.762721      80.523612     123.642421
 76.130238      81.292866     122.205191
 76.130238      83.782221     123.642421
 78.497756      84.551474     122.205191
 78.497756      87.040829     123.642421
 80.865273      87.810082     122.205191
 71.395203      72.286294     120.767962
 73.762721      73.055547     119.330732
 73.762721      75.544902     120.767962
 76.130238      76.314155     119.330732
 76.130238      78.803510     120.767962
 78.497756      79.572763     119.330732
 78.497756      82.062119     120.767962
 80.865273      82.831372     119.330732
 80.865273      85.320727     120.767962
 83.232790      86.089980     119.330732
 83.232790      88.579335     120.767962
 85.600308      89.348588     119.330732
 76.130238      73.824800     117.893502
 78.497756      74.594053     116.456272
 78.497756      77.083408     117.893502
 80.865273      77.852661     116.456272
 80.865273      80.342016     117.893502
 83.232790      81.111270     116.456272
 83.232790      83.600625     117.893502
 85.600308      84.369878     116.456272
 85.600308      86.859233     117.893502
 87.967825      87.628486     116.456272
 87.967825      90.117841     117.893502
 90.335343      90.887094     116.456272
 80.865273      75.363306     115.019042
 83.232790      76.132559     113.581812
 83.232790      78.621914     115.019042
 85.600308      79.391167     113.581812
 85.600308      81.880523     115.019042
 87.967825      82.649776     113.581812
 87.967825      85.139131     115.019042
 90.335343      85.908384     113.581812
