        4096	DH
48.399525      51.779971      87.711674
48.399525      49.290616      86.274444
50.767042      50.059869      84.837214
50.767042      52.549224      86.274444
53.134560      53.318477      84.837214
53.134560      50.829122      83.399985
55.502077      51.598375      81.962755
55.502077      54.087730      83.399985
57.869595      54.856983      81.962755
57.869595      52.367628      80.525525
60.237112      53.136881      79.088295
60.237112      55.626236      80.525525
62.604630      56.395489      79.088295
62.604630      53.906134      77.651065
64.972147      54.675387      76.213835
64.972147      57.164742      77.651065
67.339665      57.933995      76.213835
67.339665      55.444640      74.776605
69.707182      56.213893      73.339375
69.707182      58.703248      74.776605
72.074700      59.472501      73.339375
72.074700      56.983146      71.902145
74.442217      57.752399      70.464916
74.442217      60.241754      71.902145
76.809735      61.011008      70.464916
76.809735      58.521652      69.027686
79.177252      59.290905      67.590456
79.177252      61.780261      69.027686
48.399525      56.758681      84.837214
48.399525      51.779971      81.962755
48.399525      54.269326      83.399985
50.767042      55.038579      81.962755
50.767042      57.527934      83.399985
53.134560      58.297187      81.962755
48.399525      49.290616      80.525525
50.767042      50.059869      79.088295
50.767042      52.549224      80.525525
53.134560      53.318477      79.088295
53.134560      55.807832      80.525525
55.502077      56.577085      79.088295
55.502077      59.066440      80.525525
57.869595      59.835693      79.088295
53.134560      50.829122      77.651065
55.502077      51.598375      76.213835
55.502077      54.087730      77.651065
57.869595      54.856983      76.213835
57.869595      57.346338      77.651065
60.237112      58.115591      76.213835
60.237112      60.604947      77.651065
62.604630      61.374200      76.213835
57.869595      52.367628      74.776605
60.237112      53.136881      73.339375
60.237112      55.626236      74.776605
62.604630      56.395489      73.339375
62.604630      58.884844      74.776605
64.972147      59.654097      73.339375
64.972147      62.143453      74.776605
67.339665      62.912706      73.339375
62.604630      53.906134      71.902145
64.972147      54.675387      70.464916
64.972147      57.164742      71.902145
67.339665      57.933995      70.464916
67.339665      60.423350      71.902145
69.707182      61.192604      70.464916
69.707182      63.681959      71.902145
72.074700      64.451212      70.464916
67.339665      55.444640      69.027686
69.707182      56.213893      67.590456
69.707182      58.703248      69.027686
72.074700      59.472501      67.590456
72.074700      61.961857      69.027686
74.442217      62.731110      67.590456
74.442217      65.220465      69.027686
72.074700      56.983146      66.153226
74.442217      57.752399      64.715996
74.442217      60.241754      66.153226
48.399525      61.737392      81.962755
48.399525      56.758681      79.088295
48.399525      59.248036      80.525525
50.767042      60.017289      79.088295
50.767042      62.506645      80.525525
53.134560      63.275898      79.088295
48.399525      51.779971      76.213835
48.399525      54.269326      77.651065
50.767042      55.038579      76.213835
50.767042      57.527934      77.651065
53.134560      58.297187      76.213835
53.134560      60.786543      77.651065
55.502077      61.555796      76.213835
55.502077      64.045151      77.651065
57.869595      64.814404      76.213835
48.399525      49.290616      74.776605
50.767042      50.059869      73.339375
50.767042      52.549224      74.776605
53.134560      53.318477      73.339375
53.134560      55.807832      74.776605
55.502077      56.577085      73.339375
55.502077      59.066440      74.776605
57.869595      59.835693      73.339375
57.869595      62.325049      74.776605
60.237112      63.094302      73.339375
60.237112      65.583657      74.776605
62.604630      66.352910      73.339375
53.134560      50.829122      71.902145
55.502077      51.598375      70.464916
55.502077      54.087730      71.902145
57.869595      54.856983      70.464916
57.869595      57.346338      71.902145
60.237112      58.115591      70.464916
60.237112      60.604947      71.902145
62.604630      61.374200      70.464916
62.604630      63.863555      71.902145
64.972147      64.632808      70.464916
64.972147      67.122163      71.902145
