        2056	IH
25.403847      28.784293      41.720318
25.403847      26.294937      40.283088
27.771364      27.064191      38.845858
27.771364      29.553546      40.283088
30.138882      30.322799      38.845858
30.138882      27.833444      37.408628
32.506399      28.602697      35.971398
32.506399      31.092052      37.408628
34.873917      31.861305      35.971398
34.873917      29.371950      34.534168
25.403847      33.763003      38.845858
25.403847      28.784293      35.971398
25.403847      31.273648      37.408628
27.771364      32.042901      35.971398
27.771364      34.532256      37.408628
30.138882      35.301509      35.971398
25.403847      26.294937      34.534168
27.771364      27.064191      33.096938
27.771364      29.553546      34.534168
30.138882      30.322799      33.096938
30.138882      32.812154      34.534168
30.138882      27.833444      31.659709
25.403847      38.741713      35.971398
25.403847      33.763003      33.096938
25.403847      36.252358      34.534168
25.403847      28.784293      30.222479
25.403847      31.273648      31.659709
25.403847      26.294937      28.785249
25.403847      26.294937      43.157548
27.771364      27.064191      41.720318
30.138882      27.833444      40.283088
32.506399      28.602697      38.845858
34.873917      29.371950      37.408628
37.241434      30.141203      35.971398
25.403847      31.273648      40.283088
25.403847      26.294937      37.408628
25.403847      28.784293      38.845858
27.771364      29.553546      37.408628
27.771364      32.042901      38.845858
30.138882      32.812154      37.408628
27.771364      27.064191      35.971398
30.138882      27.833444      34.534168
30.138882      30.322799      35.971398
32.506399      31.092052      34.534168
32.506399      33.581407      35.971398
32.506399      28.602697      33.096938
25.403847      36.252358      37.408628
25.403847      31.273648      34.534168
25.403847      33.763003      35.971398
27.771364      34.532256      34.534168
27.771364      37.021611      35.971398
25.403847      26.294937      31.659709
25.403847      28.784293      33.096938
27.771364      29.553546      31.659709
27.771364      32.042901      33.096938
27.771364      27.064191      30.222479
25.403847      23.805582      41.720318
27.771364      24.574835      43.157548
29.234570      22.560905      41.720318
26.867053      21.791652      40.283088
28.330259      19.777721      38.845858
30.697777      20.546974      40.283088
32.160983      18.533043      38.845858
29.793465      17.763790      37.408628
31.256672      15.749860      35.971398
33.624189      16.519113      37.408628
35.087395      14.505182      35.971398
32.719878      13.735929      34.534168
30.138882      25.344088      38.845858
32.506399      26.113341      40.283088
33.969605      24.099411      38.845858
25.403847      23.805582      35.971398
27.771364      24.574835      37.408628
29.234570      22.560905      35.971398
31.602088      23.330158      37.408628
33.065294      21.316227      35.971398
35.432812      22.085480      37.408628
36.896018      20.071549      35.971398
26.867053      21.791652      34.534168
28.330259      19.777721      33.096938
30.697777      20.546974      34.534168
32.160983      18.533043      33.096938
34.528500      19.302296      34.534168
29.793465      17.763790      31.659709
34.873917      26.882594      35.971398
37.241434      27.651848      37.408628
38.704640      25.637917      35.971398
30.138882      25.344088      33.096938
32.506399      26.113341      34.534168
33.969605      24.099411      33.096938
36.337123      24.868664      34.534168
25.403847      23.805582      30.222479
27.771364      24.574835      31.659709
29.234570      22.560905      30.222479
31.602088      23.330158      31.659709
26.867053      21.791652      28.785249
25.403847      23.805582      44.594778
26.867053      21.791652      43.157548
28.330259      19.777721      41.720318
29.793465      17.763790      40.283088
31.256672      15.749860      38.845858
32.719878      13.735929      37.408628
34.183084      11.721998      35.971398
27.771364      24.574835      40.283088
30.138882      25.344088      41.720318
31.602088      23.330158      40.283088
25.403847      23.805582      38.845858
26.867053      21.791652      37.408628
29.234570      22.560905      38.845858
30.697777      20.546974      37.408628
33.065294      21.316227      38.845858
34.528500      19.302296      37.408628
28.330259      19.777721      35.971398
29.793465      17.763790      34.534168
32.160983      18.533043      35.971398
33.624189      16.519113      34.534168
35.991707      17.288366      35.971398
31.256672      15.749860      33.096938
32.506399      26.113341      37.408628
34.873917      26.882594      38.845858
36.337123      24.868664      37.408628
27.771364      24.574835      34.534168
30.138882      25.344088      35.971398
31.602088      23.330158      34.534168
33.969605      24.099411      35.971398
35.432812      22.085480      34.534168
37.800329      22.854733      35.971398
25.403847      23.805582      33.096938
26.867053      21.791652      31.659709
29.234570      22.560905      33.096938
30.697777      20.546974      31.659709
33.065294      21.316227      33.096938
28.330259      19.777721      30.222479
37.241434      27.651848      34.534168
39.608952      28.421101      35.971398
32.506399      26.113341      31.659709
34.873917      26.882594      33.096938
27.771364      24.574835      28.785249
30.138882      25.344088      30.222479
25.403847      23.805582      27.348019
24.499535      21.022399      41.720318
25.962742      19.008468      43.157548
24.499535      16.994537      41.720318
23.036329      19.008468      40.283088
21.573123      16.994537      38.845858
23.036329      14.980607      40.283088
21.573123      12.966676      38.845858
20.109917      14.980607      37.408628
18.646710      12.966676      35.971398
20.109917      10.952745      37.408628
18.646710       8.938815      35.971398
17.183504      10.952745      34.534168
27.425948      16.994537      38.845858
28.889154      14.980607      40.283088
27.425948      12.966676      38.845858
24.499535      21.022399      35.971398
25.962742      19.008468      37.408628
24.499535      16.994537      35.971398
25.962742      14.980607      37.408628
24.499535      12.966676      35.971398
25.962742      10.952745      37.408628
24.499535       8.938815      35.971398
23.036329      19.008468      34.534168
21.573123      16.994537      33.096938
23.036329      14.980607      34.534168
21.573123      12.966676      33.096938
23.036329      10.952745      34.534168
20.109917      14.980607      31.659709
30.352361      12.966676      35.971398
31.815567      10.952745      37.408628
30.352361       8.938815      35.971398
27.425948      16.994537      33.096938
28.889154      14.980607      34.534168
27.425948      12.966676      33.096938
28.889154      10.952745      34.534168
24.499535      21.022399      30.222479
25.962742      19.008468      31.659709
24.499535      16.994537      30.222479
25.962742      14.980607      31.659709
23.036329      19.008468      28.785249
24.499535      21.022399      44.594778
23.036329      19.008468      43.157548
21.573123      16.994537      41.720318
20.109917      14.980607      40.283088
18.646710      12.966676      38.845858
17.183504      10.952745      37.408628
15.720298       8.938815      35.971398
25.962742      19.008468      40.283088
27.425948      16.994537      41.720318
25.962742      14.980607      40.283088
24.499535      21.022399      38.845858
23.036329      19.008468      37.408628
24.499535      16.994537      38.845858
23.036329      14.980607      37.408628
24.499535      12.966676      38.845858
23.036329      10.952745      37.408628
21.573123      16.994537      35.971398
20.109917      14.980607      34.534168
21.573123      12.966676      35.971398
20.109917      10.952745      34.534168
21.573123       8.938815      35.971398
18.646710      12.966676      33.096938
28.889154      14.980607      37.408628
30.352361      12.966676      38.845858
28.889154      10.952745      37.408628
25.962742      19.008468      34.534168
27.425948      16.994537      35.971398
25.962742      14.980607      34.534168
27.425948      12.966676      35.971398
25.962742      10.952745      34.534168
27.425948       8.938815      35.971398
24.499535      21.022399      33.096938
23.036329      19.008468      31.659709
24.499535      16.994537      33.096938
23.036329      14.980607      31.659709
24.499535      12.966676      33.096938
21.573123      16.994537      30.222479
31.815567      10.952745      34.534168
33.278773       8.938815      35.971398
28.889154      14.980607      31.659709
30.352361      12.966676      33.096938
25.962742      19.008468      28.785249
27.425948      16.994537      30.222479
24.499535      21.022399      27.348019
21.573123      21.022399      41.720318
20.109917      19.008468      43.157548
17.742399      19.777721      41.720318
19.205605      21.791652      40.283088
16.838088      22.560905      38.845858
15.374882      20.546974      40.283088
13.007364      21.316227      38.845858
14.470571      23.330158      37.408628
