          19	OH
3.924000        3.924000        0.000000
1.962000        1.962000        3.924000
3.924000        0.000000        3.924000
5.886000        1.962000        3.924000
0.000000        3.924000        3.924000
1.962000        5.886000        3.924000
3.924000        3.924000        3.924000
5.886000        5.886000        3.924000
7.848000        3.924000        3.924000
3.924000        7.848000        3.924000
3.924000        3.924000        7.848000
3.924000        1.962000        1.962000
1.962000        3.924000        1.962000
3.924000        5.886000        1.962000
5.886000        3.924000        1.962000
3.924000        1.962000        5.886000
1.962000        3.924000        5.886000
3.924000        5.886000        5.886000
5.886000        3.924000        5.886000
