          93	RD
11.811240       11.811240        3.963240
 7.887240        7.887240        7.887240
 9.849240        9.849240        7.887240
11.811240        7.887240        7.887240
13.773240        9.849240        7.887240
15.735240        7.887240        7.887240
 7.887240       11.811240        7.887240
 9.849240       13.773240        7.887240
11.811240       11.811240        7.887240
13.773240       13.773240        7.887240
15.735240       11.811240        7.887240
 7.887240       15.735240        7.887240
11.811240       15.735240        7.887240
15.735240       15.735240        7.887240
 9.849240        5.925240       11.811240
11.811240        3.963240       11.811240
13.773240        5.925240       11.811240
 5.925240        9.849240       11.811240
 7.887240        7.887240       11.811240
 9.849240        9.849240       11.811240
11.811240        7.887240       11.811240
13.773240        9.849240       11.811240
15.735240        7.887240       11.811240
17.697240        9.849240       11.811240
 3.963240       11.811240       11.811240
 5.925240       13.773240       11.811240
 7.887240       11.811240       11.811240
 9.849240       13.773240       11.811240
11.811240       11.811240       11.811240
13.773240       13.773240       11.811240
15.735240       11.811240       11.811240
17.697240       13.773240       11.811240
19.659240       11.811240       11.811240
 7.887240       15.735240       11.811240
 9.849240       17.697240       11.811240
11.811240       15.735240       11.811240
13.773240       17.697240       11.811240
15.735240       15.735240       11.811240
11.811240       19.659240       11.811240
 7.887240        7.887240       15.735240
 9.849240        9.849240       15.735240
11.811240        7.887240       15.735240
13.773240        9.849240       15.735240
15.735240        7.887240       15.735240
 7.887240       11.811240       15.735240
 9.849240       13.773240       15.735240
11.811240       11.811240       15.735240
13.773240       13.773240       15.735240
15.735240       11.811240       15.735240
 7.887240       15.735240       15.735240
11.811240       15.735240       15.735240
15.735240       15.735240       15.735240
11.811240       11.811240       19.659240
11.811240        9.849240        5.925240
 9.849240       11.811240        5.925240
11.811240       13.773240        5.925240
13.773240       11.811240        5.925240
11.811240        5.925240        9.849240
 7.887240        9.849240        9.849240
 9.849240        7.887240        9.849240
11.811240        9.849240        9.849240
13.773240        7.887240        9.849240
15.735240        9.849240        9.849240
 5.925240       11.811240        9.849240
 7.887240       13.773240        9.849240
 9.849240       11.811240        9.849240
11.811240       13.773240        9.849240
13.773240       11.811240        9.849240
15.735240       13.773240        9.849240
17.697240       11.811240        9.849240
 9.849240       15.735240        9.849240
11.811240       17.697240        9.849240
13.773240       15.735240        9.849240
11.811240        5.925240       13.773240
 7.887240        9.849240       13.773240
 9.849240        7.887240       13.773240
11.811240        9.849240       13.773240
13.773240        7.887240       13.773240
15.735240        9.849240       13.773240
 5.925240       11.811240       13.773240
 7.887240       13.773240       13.773240
 9.849240       11.811240       13.773240
11.811240       13.773240       13.773240
13.773240       11.811240       13.773240
15.735240       13.773240       13.773240
17.697240       11.811240       13.773240
 9.849240       15.735240       13.773240
11.811240       17.697240       13.773240
13.773240       15.735240       13.773240
11.811240        9.849240       17.697240
 9.849240       11.811240       17.697240
11.811240       13.773240       17.697240
13.773240       11.811240       17.697240
