          35	TH
 3.924000        3.924000        3.924000
 5.886000        5.886000        3.924000
 7.848000        7.848000        3.924000
 9.810000        9.810000        3.924000
11.772000       11.772000        3.924000
 5.886000        5.886000        7.848000
 7.848000        3.924000        7.848000
 9.810000        5.886000        7.848000
 3.924000        7.848000        7.848000
 5.886000        9.810000        7.848000
 7.848000        7.848000        7.848000
 9.810000        9.810000        7.848000
11.772000        7.848000        7.848000
 7.848000       11.772000        7.848000
 9.810000        5.886000       11.772000
11.772000        3.924000       11.772000
 5.886000        9.810000       11.772000
 7.848000        7.848000       11.772000
 3.924000       11.772000       11.772000
 3.924000        5.886000        5.886000
 5.886000        3.924000        5.886000
 7.848000        5.886000        5.886000
 5.886000        7.848000        5.886000
 7.848000        9.810000        5.886000
 9.810000        7.848000        5.886000
11.772000        9.810000        5.886000
 9.810000       11.772000        5.886000
 7.848000        5.886000        9.810000
 9.810000        3.924000        9.810000
11.772000        5.886000        9.810000
 3.924000        9.810000        9.810000
 5.886000        7.848000        9.810000
 7.848000        9.810000        9.810000
 9.810000        7.848000        9.810000
 5.886000       11.772000        9.810000
