          10831	THH
39.163000       39.163000        3.916300
31.330400       31.330400        7.832600
33.288550       33.288550        7.832600
35.246700       31.330400        7.832600
37.204850       33.288550        7.832600
39.163000       31.330400        7.832600
41.121150       33.288550        7.832600
43.079300       31.330400        7.832600
45.037450       33.288550        7.832600
46.995600       31.330400        7.832600
31.330400       35.246700        7.832600
33.288550       37.204850        7.832600
35.246700       35.246700        7.832600
37.204850       37.204850        7.832600
39.163000       35.246700        7.832600
41.121150       37.204850        7.832600
43.079300       35.246700        7.832600
45.037450       37.204850        7.832600
46.995600       35.246700        7.832600
31.330400       39.163000        7.832600
33.288550       41.121150        7.832600
35.246700       39.163000        7.832600
37.204850       41.121150        7.832600
39.163000       39.163000        7.832600
41.121150       41.121150        7.832600
43.079300       39.163000        7.832600
45.037450       41.121150        7.832600
46.995600       39.163000        7.832600
31.330400       43.079300        7.832600
33.288550       45.037450        7.832600
35.246700       43.079300        7.832600
37.204850       45.037450        7.832600
39.163000       43.079300        7.832600
41.121150       45.037450        7.832600
43.079300       43.079300        7.832600
45.037450       45.037450        7.832600
46.995600       43.079300        7.832600
31.330400       46.995600        7.832600
35.246700       46.995600        7.832600
39.163000       46.995600        7.832600
43.079300       46.995600        7.832600
46.995600       46.995600        7.832600
23.497800       23.497800       11.748900
25.455950       25.455950       11.748900
27.414100       23.497800       11.748900
29.372250       25.455950       11.748900
31.330400       23.497800       11.748900
33.288550       25.455950       11.748900
35.246700       23.497800       11.748900
37.204850       25.455950       11.748900
39.163000       23.497800       11.748900
41.121150       25.455950       11.748900
43.079300       23.497800       11.748900
45.037450       25.455950       11.748900
46.995600       23.497800       11.748900
48.953750       25.455950       11.748900
50.911900       23.497800       11.748900
52.870050       25.455950       11.748900
54.828200       23.497800       11.748900
23.497800       27.414100       11.748900
25.455950       29.372250       11.748900
27.414100       27.414100       11.748900
29.372250       29.372250       11.748900
31.330400       27.414100       11.748900
33.288550       29.372250       11.748900
35.246700       27.414100       11.748900
37.204850       29.372250       11.748900
39.163000       27.414100       11.748900
41.121150       29.372250       11.748900
43.079300       27.414100       11.748900
45.037450       29.372250       11.748900
46.995600       27.414100       11.748900
48.953750       29.372250       11.748900
50.911900       27.414100       11.748900
52.870050       29.372250       11.748900
54.828200       27.414100       11.748900
23.497800       31.330400       11.748900
25.455950       33.288550       11.748900
27.414100       31.330400       11.748900
29.372250       33.288550       11.748900
31.330400       31.330400       11.748900
33.288550       33.288550       11.748900
35.246700       31.330400       11.748900
37.204850       33.288550       11.748900
39.163000       31.330400       11.748900
41.121150       33.288550       11.748900
43.079300       31.330400       11.748900
45.037450       33.288550       11.748900
46.995600       31.330400       11.748900
48.953750       33.288550       11.748900
50.911900       31.330400       11.748900
52.870050       33.288550       11.748900
54.828200       31.330400       11.748900
23.497800       35.246700       11.748900
25.455950       37.204850       11.748900
27.414100       35.246700       11.748900
29.372250       37.204850       11.748900
31.330400       35.246700       11.748900
33.288550       37.204850       11.748900
35.246700       35.246700       11.748900
37.204850       37.204850       11.748900
39.163000       35.246700       11.748900
41.121150       37.204850       11.748900
43.079300       35.246700       11.748900
45.037450       37.204850       11.748900
46.995600       35.246700       11.748900
48.953750       37.204850       11.748900
50.911900       35.246700       11.748900
52.870050       37.204850       11.748900
54.828200       35.246700       11.748900
23.497800       39.163000       11.748900
25.455950       41.121150       11.748900
27.414100       39.163000       11.748900
29.372250       41.121150       11.748900
31.330400       39.163000       11.748900
33.288550       41.121150       11.748900
35.246700       39.163000       11.748900
37.204850       41.121150       11.748900
39.163000       39.163000       11.748900
41.121150       41.121150       11.748900
43.079300       39.163000       11.748900
45.037450       41.121150       11.748900
46.995600       39.163000       11.748900
48.953750       41.121150       11.748900
50.911900       39.163000       11.748900
52.870050       41.121150       11.748900
54.828200       39.163000       11.748900
23.497800       43.079300       11.748900
25.455950       45.037450       11.748900
27.414100       43.079300       11.748900
29.372250       45.037450       11.748900
31.330400       43.079300       11.748900
33.288550       45.037450       11.748900
35.246700       43.079300       11.748900
37.204850       45.037450       11.748900
39.163000       43.079300       11.748900
41.121150       45.037450       11.748900
43.079300       43.079300       11.748900
45.037450       45.037450       11.748900
46.995600       43.079300       11.748900
48.953750       45.037450       11.748900
50.911900       43.079300       11.748900
52.870050       45.037450       11.748900
54.828200       43.079300       11.748900
23.497800       46.995600       11.748900
25.455950       48.953750       11.748900
27.414100       46.995600       11.748900
29.372250       48.953750       11.748900
31.330400       46.995600       11.748900
33.288550       48.953750       11.748900
35.246700       46.995600       11.748900
37.204850       48.953750       11.748900
39.163000       46.995600       11.748900
41.121150       48.953750       11.748900
43.079300       46.995600       11.748900
45.037450       48.953750       11.748900
46.995600       46.995600       11.748900
48.953750       48.953750       11.748900
50.911900       46.995600       11.748900
52.870050       48.953750       11.748900
54.828200       46.995600       11.748900
23.497800       50.911900       11.748900
25.455950       52.870050       11.748900
27.414100       50.911900       11.748900
29.372250       52.870050       11.748900
31.330400       50.911900       11.748900
33.288550       52.870050       11.748900
35.246700       50.911900       11.748900
37.204850       52.870050       11.748900
39.163000       50.911900       11.748900
41.121150       52.870050       11.748900
43.079300       50.911900       11.748900
45.037450       52.870050       11.748900
46.995600       50.911900       11.748900
48.953750       52.870050       11.748900
50.911900       50.911900       11.748900
52.870050       52.870050       11.748900
54.828200       50.911900       11.748900
23.497800       54.828200       11.748900
27.414100       54.828200       11.748900
31.330400       54.828200       11.748900
35.246700       54.828200       11.748900
39.163000       54.828200       11.748900
43.079300       54.828200       11.748900
46.995600       54.828200       11.748900
50.911900       54.828200       11.748900
54.828200       54.828200       11.748900
15.665200       15.665200       15.665200
17.623350       17.623350       15.665200
19.581500       15.665200       15.665200
21.539650       17.623350       15.665200
23.497800       15.665200       15.665200
25.455950       17.623350       15.665200
27.414100       15.665200       15.665200
29.372250       17.623350       15.665200
31.330400       15.665200       15.665200
33.288550       17.623350       15.665200
35.246700       15.665200       15.665200
37.204850       17.623350       15.665200
39.163000       15.665200       15.665200
41.121150       17.623350       15.665200
43.079300       15.665200       15.665200
45.037450       17.623350       15.665200
46.995600       15.665200       15.665200
48.953750       17.623350       15.665200
50.911900       15.665200       15.665200
52.870050       17.623350       15.665200
54.828200       15.665200       15.665200
56.786350       17.623350       15.665200
58.744500       15.665200       15.665200
60.702650       17.623350       15.665200
62.660800       15.665200       15.665200
15.665200       19.581500       15.665200
17.623350       21.539650       15.665200
19.581500       19.581500       15.665200
21.539650       21.539650       15.665200
23.497800       19.581500       15.665200
25.455950       21.539650       15.665200
27.414100       19.581500       15.665200
29.372250       21.539650       15.665200
31.330400       19.581500       15.665200
33.288550       21.539650       15.665200
35.246700       19.581500       15.665200
37.204850       21.539650       15.665200
39.163000       19.581500       15.665200
41.121150       21.539650       15.665200
43.079300       19.581500       15.665200
45.037450       21.539650       15.665200
46.995600       19.581500       15.665200
48.953750       21.539650       15.665200
50.911900       19.581500       15.665200
52.870050       21.539650       15.665200
54.828200       19.581500       15.665200
56.786350       21.539650       15.665200
58.744500       19.581500       15.665200
60.702650       21.539650       15.665200
62.660800       19.581500       15.665200
15.665200       23.497800       15.665200
17.623350       25.455950       15.665200
19.581500       23.497800       15.665200
21.539650       25.455950       15.665200
23.497800       23.497800       15.665200
25.455950       25.455950       15.665200
27.414100       23.497800       15.665200
29.372250       25.455950       15.665200
31.330400       23.497800       15.665200
33.288550       25.455950       15.665200
35.246700       23.497800       15.665200
37.204850       25.455950       15.665200
39.163000       23.497800       15.665200
41.121150       25.455950       15.665200
43.079300       23.497800       15.665200
45.037450       25.455950       15.665200
46.995600       23.497800       15.665200
48.953750       25.455950       15.665200
50.911900       23.497800       15.665200
52.870050       25.455950       15.665200
54.828200       23.497800       15.665200
56.786350       25.455950       15.665200
58.744500       23.497800       15.665200
60.702650       25.455950       15.665200
62.660800       23.497800       15.665200
15.665200       27.414100       15.665200
17.623350       29.372250       15.665200
19.581500       27.414100       15.665200
21.539650       29.372250       15.665200
23.497800       27.414100       15.665200
25.455950       29.372250       15.665200
27.414100       27.414100       15.665200
29.372250       29.372250       15.665200
31.330400       27.414100       15.665200
33.288550       29.372250       15.665200
35.246700       27.414100       15.665200
37.204850       29.372250       15.665200
39.163000       27.414100       15.665200
41.121150       29.372250       15.665200
43.079300       27.414100       15.665200
45.037450       29.372250       15.665200
46.995600       27.414100       15.665200
48.953750       29.372250       15.665200
50.911900       27.414100       15.665200
52.870050       29.372250       15.665200
54.828200       27.414100       15.665200
56.786350       29.372250       15.665200
58.744500       27.414100       15.665200
60.702650       29.372250       15.665200
62.660800       27.414100       15.665200
15.665200       31.330400       15.665200
17.623350       33.288550       15.665200
19.581500       31.330400       15.665200
21.539650       33.288550       15.665200
23.497800       31.330400       15.665200
25.455950       33.288550       15.665200
27.414100       31.330400       15.665200
29.372250       33.288550       15.665200
31.330400       31.330400       15.665200
33.288550       33.288550       15.665200
35.246700       31.330400       15.665200
37.204850       33.288550       15.665200
39.163000       31.330400       15.665200
41.121150       33.288550       15.665200
43.079300       31.330400       15.665200
45.037450       33.288550       15.665200
46.995600       31.330400       15.665200
48.953750       33.288550       15.665200
50.911900       31.330400       15.665200
52.870050       33.288550       15.665200
54.828200       31.330400       15.665200
56.786350       33.288550       15.665200
58.744500       31.330400       15.665200
60.702650       33.288550       15.665200
62.660800       31.330400       15.665200
15.665200       35.246700       15.665200
17.623350       37.204850       15.665200
19.581500       35.246700       15.665200
21.539650       37.204850       15.665200
23.497800       35.246700       15.665200
25.455950       37.204850       15.665200
27.414100       35.246700       15.665200
29.372250       37.204850       15.665200
31.330400       35.246700       15.665200
33.288550       37.204850       15.665200
35.246700       35.246700       15.665200
37.204850       37.204850       15.665200
39.163000       35.246700       15.665200
41.121150       37.204850       15.665200
43.079300       35.246700       15.665200
45.037450       37.204850       15.665200
46.995600       35.246700       15.665200
48.953750       37.204850       15.665200
50.911900       35.246700       15.665200
52.870050       37.204850       15.665200
54.828200       35.246700       15.665200
56.786350       37.204850       15.665200
58.744500       35.246700       15.665200
60.702650       37.204850       15.665200
62.660800       35.246700       15.665200
15.665200       39.163000       15.665200
17.623350       41.121150       15.665200
19.581500       39.163000       15.665200
21.539650       41.121150       15.665200
23.497800       39.163000       15.665200
25.455950       41.121150       15.665200
27.414100       39.163000       15.665200
29.372250       41.121150       15.665200
31.330400       39.163000       15.665200
33.288550       41.121150       15.665200
35.246700       39.163000       15.665200
37.204850       41.121150       15.665200
39.163000       39.163000       15.665200
41.121150       41.121150       15.665200
43.079300       39.163000       15.665200
45.037450       41.121150       15.665200
46.995600       39.163000       15.665200
48.953750       41.121150       15.665200
50.911900       39.163000       15.665200
52.870050       41.121150       15.665200
54.828200       39.163000       15.665200
56.786350       41.121150       15.665200
58.744500       39.163000       15.665200
60.702650       41.121150       15.665200
62.660800       39.163000       15.665200
15.665200       43.079300       15.665200
17.623350       45.037450       15.665200
19.581500       43.079300       15.665200
21.539650       45.037450       15.665200
23.497800       43.079300       15.665200
25.455950       45.037450       15.665200
27.414100       43.079300       15.665200
29.372250       45.037450       15.665200
31.330400       43.079300       15.665200
33.288550       45.037450       15.665200
35.246700       43.079300       15.665200
37.204850       45.037450       15.665200
39.163000       43.079300       15.665200
41.121150       45.037450       15.665200
43.079300       43.079300       15.665200
45.037450       45.037450       15.665200
46.995600       43.079300       15.665200
48.953750       45.037450       15.665200
50.911900       43.079300       15.665200
52.870050       45.037450       15.665200
54.828200       43.079300       15.665200
56.786350       45.037450       15.665200
58.744500       43.079300       15.665200
60.702650       45.037450       15.665200
62.660800       43.079300       15.665200
15.665200       46.995600       15.665200
17.623350       48.953750       15.665200
19.581500       46.995600       15.665200
21.539650       48.953750       15.665200
23.497800       46.995600       15.665200
25.455950       48.953750       15.665200
27.414100       46.995600       15.665200
29.372250       48.953750       15.665200
31.330400       46.995600       15.665200
33.288550       48.953750       15.665200
35.246700       46.995600       15.665200
37.204850       48.953750       15.665200
39.163000       46.995600       15.665200
41.121150       48.953750       15.665200
43.079300       46.995600       15.665200
45.037450       48.953750       15.665200
46.995600       46.995600       15.665200
48.953750       48.953750       15.665200
50.911900       46.995600       15.665200
52.870050       48.953750       15.665200
54.828200       46.995600       15.665200
56.786350       48.953750       15.665200
58.744500       46.995600       15.665200
60.702650       48.953750       15.665200
62.660800       46.995600       15.665200
15.665200       50.911900       15.665200
17.623350       52.870050       15.665200
19.581500       50.911900       15.665200
21.539650       52.870050       15.665200
23.497800       50.911900       15.665200
