        1249	THH
  0.000000       0.000000     -15.665200
-11.748900     -11.748900     -11.748900
 -9.790750      -9.790750     -11.748900
 -7.832600     -11.748900     -11.748900
 -5.874450      -9.790750     -11.748900
 -3.916300     -11.748900     -11.748900
 -1.958150      -9.790750     -11.748900
  0.000000     -11.748900     -11.748900
  1.958150      -9.790750     -11.748900
  3.916300     -11.748900     -11.748900
  5.874450      -9.790750     -11.748900
  7.832600     -11.748900     -11.748900
  9.790750      -9.790750     -11.748900
 11.748900     -11.748900     -11.748900
-11.748900      -7.832600     -11.748900
 -9.790750      -5.874450     -11.748900
 -7.832600      -7.832600     -11.748900
 -5.874450      -5.874450     -11.748900
 -3.916300      -7.832600     -11.748900
 -1.958150      -5.874450     -11.748900
  0.000000      -7.832600     -11.748900
  1.958150      -5.874450     -11.748900
  3.916300      -7.832600     -11.748900
  5.874450      -5.874450     -11.748900
  7.832600      -7.832600     -11.748900
  9.790750      -5.874450     -11.748900
 11.748900      -7.832600     -11.748900
-11.748900      -3.916300     -11.748900
 -9.790750      -1.958150     -11.748900
 -7.832600      -3.916300     -11.748900
 -5.874450      -1.958150     -11.748900
 -3.916300      -3.916300     -11.748900
 -1.958150      -1.958150     -11.748900
  0.000000      -3.916300     -11.748900
  1.958150      -1.958150     -11.748900
  3.916300      -3.916300     -11.748900
  5.874450      -1.958150     -11.748900
  7.832600      -3.916300     -11.748900
  9.790750      -1.958150     -11.748900
 11.748900      -3.916300     -11.748900
-11.748900       0.000000     -11.748900
 -9.790750       1.958150     -11.748900
 -7.832600       0.000000     -11.748900
 -5.874450       1.958150     -11.748900
 -3.916300       0.000000     -11.748900
 -1.958150       1.958150     -11.748900
  0.000000       0.000000     -11.748900
  1.958150       1.958150     -11.748900
  3.916300       0.000000     -11.748900
  5.874450       1.958150     -11.748900
  7.832600       0.000000     -11.748900
  9.790750       1.958150     -11.748900
 11.748900       0.000000     -11.748900
-11.748900       3.916300     -11.748900
 -9.790750       5.874450     -11.748900
 -7.832600       3.916300     -11.748900
 -5.874450       5.874450     -11.748900
 -3.916300       3.916300     -11.748900
 -1.958150       5.874450     -11.748900
  0.000000       3.916300     -11.748900
  1.958150       5.874450     -11.748900
  3.916300       3.916300     -11.748900
  5.874450       5.874450     -11.748900
  7.832600       3.916300     -11.748900
  9.790750       5.874450     -11.748900
 11.748900       3.916300     -11.748900
-11.748900       7.832600     -11.748900
 -9.790750       9.790750     -11.748900
 -7.832600       7.832600     -11.748900
 -5.874450       9.790750     -11.748900
 -3.916300       7.832600     -11.748900
 -1.958150       9.790750     -11.748900
  0.000000       7.832600     -11.748900
