          63	OH   
 7.848000        7.848000        7.848000
 9.810000        9.810000        7.848000
11.772000        7.848000        7.848000
13.734000        9.810000        7.848000
15.696000        7.848000        7.848000
 7.848000       11.772000        7.848000
 9.810000       13.734000        7.848000
11.772000       11.772000        7.848000
13.734000       13.734000        7.848000
15.696000       11.772000        7.848000
 7.848000       15.696000        7.848000
11.772000       15.696000        7.848000
15.696000       15.696000        7.848000
 7.848000        7.848000       11.772000
 9.810000        9.810000       11.772000
11.772000        7.848000       11.772000
13.734000        9.810000       11.772000
15.696000        7.848000       11.772000
 7.848000       11.772000       11.772000
 9.810000       13.734000       11.772000
11.772000       11.772000       11.772000
13.734000       13.734000       11.772000
15.696000       11.772000       11.772000
 7.848000       15.696000       11.772000
11.772000       15.696000       11.772000
15.696000       15.696000       11.772000
 7.848000        7.848000       15.696000
 9.810000        9.810000       15.696000
11.772000        7.848000       15.696000
13.734000        9.810000       15.696000
15.696000        7.848000       15.696000
 7.848000       11.772000       15.696000
 9.810000       13.734000       15.696000
11.772000       11.772000       15.696000
13.734000       13.734000       15.696000
15.696000       11.772000       15.696000
 7.848000       15.696000       15.696000
11.772000       15.696000       15.696000
15.696000       15.696000       15.696000
 7.848000        9.810000        9.810000
 9.810000        7.848000        9.810000
11.772000        9.810000        9.810000
13.734000        7.848000        9.810000
15.696000        9.810000        9.810000
 7.848000       13.734000        9.810000
 9.810000       11.772000        9.810000
11.772000       13.734000        9.810000
13.734000       11.772000        9.810000
15.696000       13.734000        9.810000
 9.810000       15.696000        9.810000
13.734000       15.696000        9.810000
 7.848000        9.810000       13.734000
 9.810000        7.848000       13.734000
11.772000        9.810000       13.734000
13.734000        7.848000       13.734000
15.696000        9.810000       13.734000
 7.848000       13.734000       13.734000
 9.810000       11.772000       13.734000
11.772000       13.734000       13.734000
13.734000       11.772000       13.734000
15.696000       13.734000       13.734000
 9.810000       15.696000       13.734000
13.734000       15.696000       13.734000
